F	I	Q
5342292317.301686	0.0552215576171875	-0.06597900390625
5342297938.788258	0.054698944091796875	-0.06563568115234375
5342303560.274828	0.05419921875	-0.0653228759765625
5342309181.761399	0.05377960205078125	-0.06487655639648438
5342314803.24797	0.054508209228515625	-0.06587600708007812
5342320424.734541	0.054027557373046875	-0.06536102294921875
5342326046.221112	0.05438232421875	-0.06644439697265625
5342331667.707683	0.0535125732421875	-0.06595993041992188
5342337289.194254	0.0552520751953125	-0.06694412231445312
5342342910.680824	0.053035736083984375	-0.06576919555664062
5342348532.167396	0.052860260009765625	-0.06688690185546875
5342354153.653966	0.0537872314453125	-0.06627273559570312
5342359775.140537	0.053497314453125	-0.06674575805664062
5342365396.627108	0.0529327392578125	-0.06632614135742188
5342371018.113679	0.05290985107421875	-0.06570053100585938
5342376639.60025	0.05266571044921875	-0.06696319580078125
5342382261.086821	0.05307769775390625	-0.06713485717773438
5342387882.573392	0.052349090576171875	-0.06650161743164062
5342393504.059962	0.053409576416015625	-0.06678009033203125
5342399125.546534	0.052600860595703125	-0.0666046142578125
5342404747.033104	0.05265045166015625	-0.06658554077148438
5342410368.519675	0.05255889892578125	-0.06674957275390625
5342415990.006247	0.05060577392578125	-0.06737136840820312
5342421611.492817	0.0519561767578125	-0.06723403930664062
5342427232.979388	0.0520477294921875	-0.06789779663085938
5342432854.465959	0.0514678955078125	-0.06708145141601562
5342438475.95253	0.05124664306640625	-0.06746673583984375
5342444097.4391	0.0513916015625	-0.06697463989257812
5342449718.925672	0.050472259521484375	-0.06743621826171875
5342455340.412242	0.051342010498046875	-0.06766891479492188
5342460961.898813	0.05185699462890625	-0.06774139404296875
5342466583.385385	0.05126190185546875	-0.06743621826171875
5342472204.871955	0.05077362060546875	-0.0670928955078125
5342477826.358526	0.049587249755859375	-0.06737518310546875
5342483447.845097	0.04935455322265625	-0.06805038452148438
5342489069.331668	0.050098419189453125	-0.06820297241210938
5342494690.818238	0.049533843994140625	-0.06827926635742188
5342500312.30481	0.0490875244140625	-0.06807327270507812
5342505933.79138	0.049976348876953125	-0.06940078735351562
5342511555.277951	0.05069732666015625	-0.0692138671875
5342517176.764523	0.04991912841796875	-0.06767654418945312
5342522798.251093	0.04925537109375	-0.06738662719726562
5342528419.737664	0.04921722412109375	-0.06826400756835938
5342534041.224235	0.04950714111328125	-0.06840896606445312
5342539662.710806	0.0496826171875	-0.0690155029296875
5342545284.197376	0.048969268798828125	-0.068511962890625
5342550905.683948	0.049358367919921875	-0.06878662109375
5342556527.170519	0.0488433837890625	-0.0688018798828125
5342562148.657089	0.04903411865234375	-0.06965255737304688
5342567770.143661	0.0487823486328125	-0.06896591186523438
5342573391.630231	0.04891204833984375	-0.06862258911132812
5342579013.116802	0.048236846923828125	-0.06791305541992188
5342584634.603373	0.04663848876953125	-0.06954193115234375
5342590256.089944	0.04761505126953125	-0.0693206787109375
5342595877.576514	0.04785919189453125	-0.06957244873046875
5342601499.063086	0.047740936279296875	-0.06902313232421875
5342607120.549657	0.047992706298828125	-0.06939315795898438
5342612742.036227	0.048065185546875	-0.06966018676757812
5342618363.522799	0.04750823974609375	-0.06984710693359375
5342623985.009369	0.0471649169921875	-0.06987762451171875
5342629606.49594	0.04795074462890625	-0.07064437866210938
5342635227.982511	0.046695709228515625	-0.0697784423828125
5342640849.469082	0.046215057373046875	-0.06990432739257812
5342646470.955653	0.0464019775390625	-0.0701751708984375
5342652092.442224	0.047054290771484375	-0.0705108642578125
5342657713.928795	0.0464324951171875	-0.07011032104492188
