T	I	Q
488	-0.013056514888252423	0.003545996651682071
489	-0.013399020925020159	0.0034503963288116213
490	-0.013105943862388813	0.003184551830493729
491	-0.01346801539162916	0.003064045339884615
492	-0.013434462770408573	0.0028988027572500867
493	-0.013525227969336993	0.0027286943102371878
494	-0.013423477790610924	0.002559094844853826
495	-0.013553600681384705	0.002425911318458384
496	-0.013689150797949697	0.002297193257559411
497	-0.013507929545865773	0.0021149778341852652
498	-0.013785446271260299	0.001995319646292046
499	-0.013821320920730795	0.0018491672679760087
500	-0.01378502033708428	0.0017477577681071126
501	-0.013571270079783426	0.0015023132535010519
502	-0.013595197962607199	0.0013757532747113146
503	-0.01372248358217621	0.001166141066824639
504	-0.013434078055668942	0.0011374684350274038
505	-0.013469767217675689	0.0009572278603758605
506	-0.013112971776293125	0.0008456794464465929
507	-0.013079625252254482	0.0007166356373047165
508	-0.013154637756576267	0.0005649387524375924
509	-0.013195032804237417	0.000434849834349734
510	-0.012671092548297748	0.0003374307504564058
511	-0.012690905357388692	0.00020288315329380566
512	-0.012603726249426109	3.4898856281506594e-05
513	-0.01257327882574682	-9.05617221884313e-05
514	-0.012286075532800896	-0.00019127900704115746
515	-0.01225960578473314	-0.00036485531555663326
516	-0.012055603924138267	-0.0004888703861986869
517	-0.011582968126690685	-0.0005592998708831146
518	-0.011435993356339895	-0.0006335026060478412
519	-0.011393358719301614	-0.0007983244305352855
520	-0.010966751292488334	-0.0009294041661953088
521	-0.010479468855310552	-0.0009275243273768866
522	-0.01052816961940407	-0.0010981553288627766
523	-0.01030122914245876	-0.0012192250924752443
524	-0.009924311746212333	-0.00122207538960065
525	-0.009682415483763907	-0.0012959863086311088
526	-0.009243318567724782	-0.0013674405429963373
527	-0.009086430522922455	-0.0015191102821765525
528	-0.008687495077738276	-0.00155460326780958
529	-0.008097988438315952	-0.001542401281544153
530	-0.008027139097069449	-0.001730140852204204
531	-0.007705627493235807	-0.001790594296949712
532	-0.007366899904803722	-0.0018810776578378863
533	-0.007163344588103064	-0.0020131617839135286
534	-0.006586382397155103	-0.0019708552308664367
535	-0.006438645067231118	-0.0021407804444927023
536	-0.005974740920391923	-0.0021528127702149505
537	-0.005568901219612598	-0.0021591037831560243
538	-0.005222431247045461	-0.0022803635665768524
539	-0.0049033859394890895	-0.0022547380381351106
540	-0.004300324975400872	-0.0022268119127278625
541	-0.004030110960153252	-0.002292633417059551
542	-0.0035172724724143335	-0.0023353471554102725
543	-0.0030837882696301677	-0.0023805990154869504
544	-0.0026880885502025193	-0.002457176998256182
545	-0.002237463931786624	-0.002476993349699478
546	-0.0017735803946656234	-0.0025269549864548025
547	-0.0013822087160588125	-0.00254516974237049
548	-0.0008527107061127026	-0.002518159783896408
549	-0.0005985241817143105	-0.002656772447673575
550	1.3481400070304517e-05	-0.002479870792511792
551	0.0004164769597387931	-0.002563486294612085
552	0.0010210767827855307	-0.0024991781623255518
553	0.0014843695079849568	-0.002536408471920731
554	0.0019737197868882504	-0.0026475429141246424
555	0.0024615449466451537	-0.0027355424446606777
556	0.00292906953398051	-0.0026963915777167132
557	0.003439709651778685	-0.002668757268443733
558	0.003952156554871908	-0.002617784454851062
559	0.004429003604737227	-0.002547911456748261
560	0.004958233688346809	-0.0024781538278148218
561	0.0055008669586888576	-0.0024660943564056652
562	0.006022038642484404	-0.0024438756116709555
563	0.006525163083047664	-0.002590122999891173
564	0.007101898567095487	-0.0024831282749408273
565	0.0075881161688332215	-0.002502958199227578
566	0.008133332523855643	-0.002466311521900934
567	0.00870984817090939	-0.0024674177086424606
568	0.009244498610404116	-0.0024711502405923968
569	0.009824888884478423	-0.0024534308934627915
570	0.010378775060954649	-0.0024658161131148517
571	0.010808123580287793	-0.0022954769277632294
572	0.01140349024958341	-0.0023530257840095148
573	0.01204573715786537	-0.002345784672026639
574	0.0123959580991439	-0.002228874984932918
575	0.0130543080672418	-0.0022672114812696234
576	0.013592846873569216	-0.0021542514916211074
577	0.014117405421054718	-0.0021626802274062355
578	0.014864672583349602	-0.0022478633929255013
579	0.015228138703521108	-0.0020637817035763875
580	0.015934701672381923	-0.0020757190193944554
581	0.01662682409869449	-0.002193232698021893
582	0.01702365735262283	-0.0020195817388674185
583	0.017578580884914846	-0.0019910448355047266
584	0.018018783855830407	-0.0018958109794075426
585	0.018721417238422147	-0.001895349502730096
586	0.019275983535598788	-0.0018441120186900662
587	0.019615171407737216	-0.0018021787188379676
588	0.020015199167985703	-0.0016764941884510336
589	0.020711436668031092	-0.001627089038277336
590	0.021094262183493265	-0.0015799166208518727
591	0.02203189444284435	-0.001629308198182116
592	0.0221452685026321	-0.0014953374468663241
593	0.022613280853298057	-0.0014081658597810019
594	0.023327716734509157	-0.0014797626090025005
595	0.023772117218030325	-0.0013424461517752206
596	0.023935009560733307	-0.0012194354715487862
597	0.02437877801289651	-0.0011415748550731224
598	0.02494698794351789	-0.0011801013712181884
599	0.025305308504046845	-0.0010450583652695058
600	0.02560967282234269	-0.001019174952802132
601	0.025846966247727688	-0.000899272453726735
602	0.02651278380371805	-0.00088663613647077
603	0.026563827205779673	-0.0007486274642273202
604	0.027000169289486804	-0.0007006542490380525
605	0.02753402281987801	-0.0005667717212047137
606	0.02788096681596362	-0.0005763134301530954
607	0.027912437855646566	-0.00044243090231975657
608	0.02843270271184156	-0.00043706284273357595
609	0.028754447892481404	-0.00033147290708075163
610	0.028901223435556313	-0.0002536190770268149
611	0.029241840248156223	-0.00016171735399766476
612	0.029435667777869094	-3.045438495100825e-05
613	0.029565502132588153	9.039142674446338e-05
614	0.029565989895918757	0.00012264728921363712
615	0.03007933675670647	0.0002471374093765917
616	0.030278124358598144	0.00028132740203800494
617	0.030598213891876367	0.0003952103450414143
618	0.030724022481641442	0.0004406725841916341
619	0.030704594387290125	0.0005615455415740144
620	0.03079696027433165	0.0006665246992713946
621	0.030914882211934308	0.00078127630425588
622	0.030973049706585154	0.0008235964301464264
623	0.031015017962735147	0.000912213525059633
624	0.031136086317315494	0.0010149531635870518
625	0.031323476745045625	0.0011409838014820707
626	0.03136969060314368	0.0011813697971803777
627	0.03156117549488845	0.0012550160457634775
628	0.03147376968002573	0.0013742738347747945
629	0.03160794581537775	0.0014864058809725975
630	0.031327241453569146	0.0015632010292370977
631	0.03140862923071909	0.0017209038973327552
632	0.031630987480319166	0.0018210307634952186
633	0.031496399150603246	0.0019232885660800093
634	0.03147357732265591	0.0020021807186582008
635	0.03156873239155975	0.0021402165365885595
636	0.03150384612877751	0.0022073885388439523
